,Open
2024-05-13,157.2020264
2024-05-14,157.2490845
2024-05-15,157.3010712
2024-05-16,157.366272
2024-05-17,157.4119263
2024-05-18,157.4485321
2024-05-19,157.4645691
2024-05-20,157.4785614
2024-05-21,157.495636
2024-05-22,157.5207367
2024-05-23,157.5614014
2024-05-24,157.5957947
2024-05-25,157.6410675
2024-05-26,157.6936188
2024-05-27,157.7259064
2024-05-28,157.7319641
2024-05-29,157.7392273
2024-05-30,157.7190857
2024-05-31,157.7751312
2024-06-01,157.8205719
2024-06-02,157.8630981
2024-06-03,157.8579865
2024-06-04,157.8344421
2024-06-05,157.8036499
2024-06-06,157.7501068
2024-06-07,157.672699
2024-06-08,157.5211945
2024-06-09,157.3929901
2024-06-10,157.2941284
2024-06-11,157.2261963
2024-06-12,157.1519165
2024-06-13,157.0362244
2024-06-14,156.9607239
2024-06-15,156.8811035
2024-06-16,156.7691803
2024-06-17,156.6753235
2024-06-18,156.5883331
2024-06-19,156.4994507
2024-06-20,156.4317474
2024-06-21,156.3580475
2024-06-22,156.2754364
2024-06-23,156.2364197
2024-06-24,156.2720337
2024-06-25,156.3209381
2024-06-26,156.4157715
2024-06-27,156.5513
2024-06-28,156.6917725
2024-06-29,156.809494
2024-06-30,156.913559
2024-07-01,156.9754486
2024-07-02,157.0363617
2024-07-03,157.122467
2024-07-04,157.2089844
2024-07-05,157.2861328
2024-07-06,157.3462524
2024-07-07,157.3931427
2024-07-08,157.4143219
2024-07-09,157.4427795
2024-07-10,157.4780884
2024-07-11,157.4879608
2024-07-12,157.5258636
2024-07-13,157.5568542
2024-07-14,157.5924072
2024-07-15,157.6226349
